Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2010-01-04,6.40648078918457,38.7485466003418,6.695000171661377,32.29255294799805,43.77755355834961,39.12436294555664,18.386899948120117,15.830376625061035,40.89093017578125,27.083698272705078,129.38734436035156,19.29707908630371,26.546703338623047,71.9388656616211,39.97480773925781,28.152379989624023,17.20525550842285,40.06070327758789,42.56045913696289,20.31467628479004,23.027509689331055,13.06201457977295,0.4232904016971588,37.86110305786133,17.168996810913086,34.03668975830078,24.269075393676758,19.56466293334961,13.093175888061523,12.909185409545898
2010-01-05,6.417558670043945,38.41287612915039,6.734499931335449,32.22152328491211,45.211341857910156,39.59214401245117,18.308258056640625,15.759845733642578,41.18056106567383,27.016138076782227,131.67494201660156,19.43842124938965,26.599348068237305,71.06981658935547,39.51128005981445,28.697694778442383,16.997119903564453,39.754398345947266,42.29388427734375,20.397016525268555,23.03494644165039,13.113981246948242,0.42947152256965637,37.87348175048828,16.76253318786621,33.23036575317383,24.230594635009766,19.34047508239746,13.116777420043945,12.780645370483398
2010-01-06,6.3154778480529785,38.12421798706055,6.612500190734863,32.74237060546875,46.58280563354492,39.71242141723633,18.276308059692383,15.657258987426758,41.185733795166016,26.872568130493164,130.26951599121094,19.37110710144043,26.599348068237305,70.6081314086914,39.832664489746094,28.855361938476562,16.9910888671875,39.212013244628906,42.893680572509766,20.671459197998047,22.89358139038086,13.034024238586426,0.4322187304496765,37.69383239746094,16.542585372924805,32.758853912353516,24.46921157836914,19.080766677856445,12.739620208740234,12.7520751953125
2010-01-07,6.3038010597229,37.77513122558594,6.5,33.2734260559082,48.46855163574219,39.872779846191406,18.195213317871094,15.727792739868164,41.03056716918945,26.881017684936523,132.81861877441406,19.599956512451172,27.112506866455078,70.3637466430664,39.54835891723633,29.42694664001465,16.948862075805664,39.4991569519043,42.92445373535156,20.70438575744629,22.655494689941406,13.161949157714844,0.42374831438064575,37.489402770996094,16.690143585205078,33.23036575317383,25.408254623413086,19.258352279663086,12.66379165649414,12.7592191696167
2010-01-08,6.3457112312316895,38.110809326171875,6.676000118255615,33.249629974365234,48.00101852416992,40.32051467895508,18.222244262695312,15.811142921447754,41.10297775268555,26.923242568969727,130.30686950683594,19.50572395324707,27.711204528808594,71.06981658935547,39.68434143066406,29.354686737060547,16.635154724121094,39.46086502075195,43.22692108154297,20.69341278076172,22.81174087524414,13.135963439941406,0.42466408014297485,37.43986129760742,16.832130432128906,33.18252182006836,25.169639587402344,19.31161880493164,12.671771049499512,12.694947242736816
2010-01-11,6.289732456207275,38.278629302978516,6.515500068664551,32.86918258666992,47.43217468261719,42.85306167602539,18.0993709564209,15.766255378723145,41.83224868774414,26.484092712402344,128.2510223388672,18.953807830810547,28.059892654418945,70.3257064819336,39.69050979614258,29.256132125854492,16.972990036010742,39.76715850830078,43.052635192871094,20.775754928588867,22.521574020385742,12.974064826965332,0.41871196031570435,37.291194915771484,16.601055145263672,33.168861389160156,25.33897590637207,19.256122589111328,12.723655700683594,12.904426574707031
2010-01-12,6.2181878089904785,37.61402130126953,6.367499828338623,33.305137634277344,47.08930587768555,41.59011459350586,16.782161712646484,15.516212463378906,41.589168548583984,26.028047561645508,125.45516204833984,18.832656860351562,27.744108200073242,70.8851547241211,39.9006462097168,28.57285499572754,17.156984329223633,39.9841194152832,43.088504791259766,20.61107635498047,22.372772216796875,12.956077575683594,0.4045183062553406,37.718624114990234,16.542585372924805,33.38068771362305,24.669328689575195,19.165124893188477,12.735626220703125,13.028212547302246
2010-01-13,6.305898189544678,37.9496955871582,6.45550012588501,33.408164978027344,47.65814971923828,41.6502571105957,16.83376693725586,15.798322677612305,41.27366638183594,26.424976348876953,126.38965606689453,18.933610916137695,27.84278678894043,70.7330551147461,40.1540412902832,29.072175979614258,17.202238082885742,39.939456939697266,42.95009231567383,21.368566513061523,22.58108901977539,13.072001457214355,0.41001245379447937,38.1088752746582,16.754179000854492,33.496856689453125,25.046485900878906,19.34269905090332,12.7196626663208,13.094860076904297
2010-01-14,6.2693772315979,37.701290130615234,6.367499828338623,33.82823181152344,47.9698371887207,41.4163703918457,17.003334045410156,15.99708080291748,41.14436340332031,26.19695472717285,125.9859848022461,19.04802894592285,28.007272720336914,71.86280822753906,40.23440170288086,29.361257553100586,17.232398986816406,39.977745056152344,42.806541442871094,21.95038414001465,23.03494644165039,12.9900541305542,0.4036024510860443,38.14603805541992,16.85161781311035,33.674530029296875,25.646862030029297,19.409282684326172,12.46024227142334,12.904426574707031
2010-01-15,6.164602279663086,37.7617073059082,6.35699987411499,33.59838104248047,47.39320755004883,40.44757080078125,16.86571502685547,15.644437789916992,40.978843688964844,25.842262268066406,123.50409698486328,19.229766845703125,28.046735763549805,71.57494354248047,39.9006462097168,28.697694778442383,16.979028701782227,39.74165725708008,42.739898681640625,21.66495704650879,22.960552215576172,12.870125770568848,0.39169809222221375,37.67525100708008,16.47855567932129,33.339698791503906,25.97784996032715,19.1207275390625,12.204817771911621,12.778261184692383
